Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
18:15:48_18.05.2019,train,[7/100],[0/6],0.00325991,0.0234,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:16:11_18.05.2019,train,[7/100],[1/6],0.00278320,0.0078,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:16:39_18.05.2019,train,[7/100],[2/6],0.00336974,0.0234,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:17:05_18.05.2019,train,[7/100],[3/6],0.00260202,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:17:29_18.05.2019,train,[7/100],[4/6],0.00259313,0.0312,0.000,0.000,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:17:45_18.05.2019,train,[7/100],[5/6],0.00350966,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000
18:17:57_18.05.2019,valid,[7/100],[0/6],0.00165185,0.0234,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:18:07_18.05.2019,train,[8/100],[0/6],0.00233054,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:18:32_18.05.2019,train,[8/100],[1/6],0.00237617,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:18:57_18.05.2019,train,[8/100],[2/6],0.00287478,0.0156,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:19:22_18.05.2019,train,[8/100],[3/6],0.00240571,0.0234,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000
18:19:47_18.05.2019,train,[8/100],[4/6],0.00215983,0.0469,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.125,0.000
18:20:02_18.05.2019,train,[8/100],[5/6],0.00174208,0.0312,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:20:14_18.05.2019,valid,[8/100],[0/6],0.00134312,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125
18:20:25_18.05.2019,train,[9/100],[0/6],0.00229144,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:20:49_18.05.2019,train,[9/100],[1/6],0.00229353,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:21:14_18.05.2019,train,[9/100],[2/6],0.00186759,0.0469,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.000,0.125
